GIS_Tract,YearMonth,SNAP_cases,SNAP_people,SNAP_children,MFIP_cases,MFIP_people,MFIP_children,GEOID,NAME,hh_125_povertyE,hh_125_povertyM,p_125_povertyE,p_125_povertyM
NA,202001,8157,10941,1758,1053,2885,1345,NA,NA,NA,NA,NA,NA
27019090402,202001,Low count,<10,0,0,0,0,NA,NA,NA,NA,NA,NA
27019090501,202001,Low count,<10,0,Low count,<10,<10,NA,NA,NA,NA,NA,NA
27019090503,202001,Low count,<10,<10,0,0,0,NA,NA,NA,NA,NA,NA
27053000101,202001,195,402,113,34,86,37,27053000101,Census Tract 1.01; Hennepin County; Minnesota,117,72,593,312
27053000102,202001,410,701,175,85,227,110,27053000102,Census Tract 1.02; Hennepin County; Minnesota,76,70,578,298
27053000300,202001,122,177,33,17,38,20,27053000300,Census Tract 3; Hennepin County; Minnesota,86,50,426,222
27053000601,202001,103,146,23,17,48,25,27053000601,Census Tract 6.01; Hennepin County; Minnesota,16,19,219,105
27053000603,202001,35,78,17,7,26,18,27053000603,Census Tract 6.03; Hennepin County; Minnesota,36,30,168,100
27053001100,202001,58,101,21,9,26,13,27053001100,Census Tract 11; Hennepin County; Minnesota,39,37,348,187
27053001700,202001,242,543,194,50,158,71,27053001700,Census Tract 17; Hennepin County; Minnesota,74,37,428,151
27053002200,202001,148,344,125,40,131,58,27053002200,Census Tract 22; Hennepin County; Minnesota,79,65,548,460
27053002400,202001,149,232,40,17,52,28,27053002400,Census Tract 24; Hennepin County; Minnesota,25,41,161,88
27053002700,202001,209,399,83,52,178,91,27053002700,Census Tract 27; Hennepin County; Minnesota,158,80,723,384
27053003200,202001,145,299,95,37,103,47,27053003200,Census Tract 32; Hennepin County; Minnesota,167,113,711,327
27053003300,202001,263,570,174,82,316,141,27053003300,Census Tract 33; Hennepin County; Minnesota,169,116,985,618
27053003801,202001,122,167,33,25,57,31,27053003801,Census Tract 38.01; Hennepin County; Minnesota,46,3,749,205
27053003802,202001,38,71,23,5,12,<10,27053003802,Census Tract 38.02; Hennepin County; Minnesota,64,13,2234,596
27053005901,202001,621,741,68,41,113,55,27053005901,Census Tract 59.01; Hennepin County; Minnesota,111,76,1363,299
27053005902,202001,446,730,173,75,247,113,27053005902,Census Tract 59.02; Hennepin County; Minnesota,143,129,1424,673
27053006800,202001,267,335,45,26,60,30,27053006800,Census Tract 68; Hennepin County; Minnesota,258,170,1259,548
27053007700,202001,181,322,89,45,135,61,27053007700,Census Tract 77; Hennepin County; Minnesota,64,63,581,243
27053007801,202001,140,256,72,31,86,51,27053007801,Census Tract 78.01; Hennepin County; Minnesota,82,64,844,484
27053008100,202001,64,110,21,9,30,15,27053008100,Census Tract 81; Hennepin County; Minnesota,35,24,583,220
27053008200,202001,654,837,102,35,79,47,27053008200,Census Tract 82; Hennepin County; Minnesota,201,105,1213,319
27053008300,202001,83,163,49,22,91,40,27053008300,Census Tract 83; Hennepin County; Minnesota,115,74,772,503
27053008400,202001,139,276,86,37,140,65,27053008400,Census Tract 84; Hennepin County; Minnesota,24,18,352,190
27053008500,202001,208,308,68,46,142,69,27053008500,Census Tract 85; Hennepin County; Minnesota,66,75,504,209
27053009500,202001,132,237,72,27,80,29,27053009500,Census Tract 95; Hennepin County; Minnesota,21,23,273,133
27053009600,202001,120,184,50,25,70,27,27053009600,Census Tract 96; Hennepin County; Minnesota,138,96,815,570
27053010600,202001,4,13,<10,0,0,0,27053010600,Census Tract 106; Hennepin County; Minnesota,10,16,52,51
27053010700,202001,Low count,<10,<10,Low count,<10,<10,27053010700,Census Tract 107; Hennepin County; Minnesota,36,32,172,109
27053011000,202001,48,86,17,9,24,<10,27053011000,Census Tract 110; Hennepin County; Minnesota,37,35,277,183
27053011703,202001,29,36,<10,8,25,12,27053011703,Census Tract 117.03; Hennepin County; Minnesota,20,21,210,98
27053011704,202001,31,39,<10,8,25,<10,27053011704,Census Tract 117.04; Hennepin County; Minnesota,11,17,64,43
27053011800,202001,58,94,15,8,18,<10,27053011800,Census Tract 118; Hennepin County; Minnesota,21,28,222,179
27053011998,202001,108,188,45,17,54,32,27053011998,Census Tract 119.98; Hennepin County; Minnesota,0,9,229,94
27053012001,202001,51,112,35,20,64,30,27053012001,Census Tract 120.01; Hennepin County; Minnesota,0,13,89,50
